,RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
0,1,15634602,619,0,0,42,2,0.0,1,1,1,101348.88,1
1,2,15647311,608,2,0,41,1,83807.86,1,0,1,112542.58,0
2,3,15619304,502,0,0,42,8,159660.8,3,1,0,113931.57,1
3,4,15701354,699,0,0,39,1,0.0,2,0,0,93826.63,0
4,5,15737888,850,2,0,43,2,125510.82,1,1,1,79084.1,0
5,6,15574012,645,2,1,44,8,113755.78,2,1,0,149756.71,1
6,7,15592531,822,0,1,50,7,0.0,2,1,1,10062.8,0
7,8,15656148,376,1,0,29,4,115046.74,4,1,0,119346.88,1
8,9,15792365,501,0,1,44,4,142051.07,2,0,1,74940.5,0
9,10,15592389,684,0,1,27,2,134603.88,1,1,1,71725.73,0
10,11,15767821,528,0,1,31,6,102016.72,2,0,0,80181.12,0
11,12,15737173,497,2,1,24,3,0.0,2,1,0,76390.01,0
12,13,15632264,476,0,0,34,10,0.0,2,1,0,26260.98,0
13,14,15691483,549,0,0,25,5,0.0,2,0,0,190857.79,0
14,15,15600882,635,2,0,35,7,0.0,2,1,1,65951.65,0
15,16,15643966,616,1,1,45,3,143129.41,2,0,1,64327.26,0
16,17,15737452,653,1,1,58,1,132602.88,1,1,0,5097.67,1
17,18,15788218,549,2,0,24,9,0.0,2,1,1,14406.41,0
18,19,15661507,587,2,1,45,6,0.0,1,0,0,158684.81,0
19,20,15568982,726,0,0,24,6,0.0,2,1,1,54724.03,0
20,21,15577657,732,0,1,41,8,0.0,2,1,1,170886.17,0
21,22,15597945,636,2,0,32,8,0.0,2,1,0,138555.46,0
22,23,15699309,510,2,0,38,4,0.0,1,1,0,118913.53,1
23,24,15725737,669,0,1,46,3,0.0,2,0,1,8487.75,0
24,25,15625047,846,0,0,38,5,0.0,1,1,1,187616.16,0
25,26,15738191,577,0,1,25,3,0.0,2,0,1,124508.29,0
26,27,15736816,756,1,1,36,2,136815.64,1,1,1,170041.95,0
27,28,15700772,571,0,1,44,9,0.0,2,0,0,38433.35,0
28,29,15728693,574,1,0,43,3,141349.43,1,1,1,100187.43,0
29,30,15656300,411,0,1,29,0,59697.17,2,1,1,53483.21,0
30,31,15589475,591,2,0,39,3,0.0,3,1,0,140469.38,1
31,32,15706552,533,0,1,36,7,85311.7,1,0,1,156731.91,0
32,33,15750181,553,1,1,41,9,110112.54,2,0,0,81898.81,0
33,34,15659428,520,2,0,42,6,0.0,2,1,1,34410.55,0
